timestamp,city,temperature,weather_description,humidity
2025-05-31_14-56-10,Tehran,33.73,few clouds,4
2025-05-31_14-56-22,Province of Turin,24.82,clear sky,56
2025-05-31_14-56-26,Tokyo,16.64,broken clouds,74
2025-05-31_14-56-28,Oslo,18.89,broken clouds,43
2025-05-31_14-56-48,Peru,13.24,clear sky,76
2025-05-31_15-06-27,Florence,30.98,clear sky,39
2025-05-31_15-06-31,Calabria,19.09,scattered clouds,55
2025-05-31_15-08-46,Province of Turin,24.91,overcast clouds,57
2025-05-31_15-08-48,Tehran,33.73,few clouds,4
2025-05-31_15-08-51,Tokyo,16.5,broken clouds,74
2025-05-31_15-09-49,Province of Turin,24.91,overcast clouds,57
2025-05-31_15-09-54,Tokyo,16.5,broken clouds,74
2025-05-31_15-09-56,Tehran,33.73,few clouds,4
2025-05-31_15-15-07,Tehran,33.73,few clouds,4
2025-05-31_15-15-07,Tokyo,16.5,broken clouds,74
2025-05-31_15-15-07,Province of Turin,24.91,overcast clouds,57
2025-05-31_15-22-23,Province of Turin,25.12,clear sky,55
2025-05-31_15-22-24,Madrid,33.33,clear sky,25
2025-05-31_15-22-24,Peru,13.69,clear sky,69
2025-05-31_15-22-24,Tehran,33.73,few clouds,4
2025-05-31_15-24-08,Province of Turin,25.12,clear sky,55
2025-05-31_15-24-08,Tehran,33.73,few clouds,4
2025-05-31_15-24-08,Peru,13.69,clear sky,69
2025-05-31_15-26-04,Province of Turin,25.12,clear sky,55
2025-05-31_15-26-05,Tehran,33.73,few clouds,4
2025-05-31_15-29-34,Province of Turin,25.12,clear sky,55
2025-05-31_15-29-34,Tehran,33.73,few clouds,4
